sr_type,target_days,priority,sla_target_source
"Public Vehicle/Valet Complaint",7,Medium,Transportation service standard
"Pushcart Food Vendor Complaint",7,Medium,Regulatory enforcement standard
"Recycling Inspection Request",14,Medium,Inspection backlog estimate
"Recycling Pick Up",3,Medium,Sanitation service standard
"Renters and Foreclosure Complaint",30,Low,Housing regulation standard
"Report an Injured Animal",1,Critical,Animal control emergency response
"Restaurant Complaint",14,Low,Health inspection standard
"Ridesharing Complaint",7,Low,Transportation service standard
"Rodent Baiting/Rat Complaint",5,Medium,Public health baseline assumption
"Sanitation Code Violation",7,Medium,Inspection and enforcement SLA
"Sewer Cave-In Inspection Request",1,Critical,Emergency infrastructure response
"Sewer Cleaning Inspection Request",7,Medium,Infrastructure maintenance standard
"Shared Cost Sidewalk Program Request",30,Low,Capital improvement program standard
"Shared Housing/Vacation Rental Complaint",14,Low,Housing regulation standard
"Sidewalk Café/Outdoor Dining Complaint",14,Low,Regulatory enforcement standard
"Sidewalk Inspection Request",14,Medium,Inspection backlog estimate
"Sign Repair Request - All Other Signs",14,Low,Sign repair backlog estimate
"Sign Repair Request - Do Not Enter Sign",1,Critical,Public safety critical sign repair
"Sign Repair Request - One Way Sign",1,Critical,Public safety critical sign repair
"Sign Repair Request - Stop Sign",1,Critical,Public safety critical sign repair
"Smokeless Tobacco at Sports Event Complaint",7,Low,Regulatory enforcement standard
"Snow - Object/Dibs Removal Request",1,Critical,Weather emergency response
"Snow Removal - Protected Bike Lane or Bridge Sidewalk",1,Critical,Weather emergency response
"Snow – Uncleared Sidewalk Complaint",1,Critical,Weather emergency response
"Stray Animal Complaint",7,Medium,Animal control response standard
"Street Cleaning Request",7,Medium,Recurring maintenance schedule
"Street Light On During Day Complaint",3,Medium,Infrastructure lighting standard
"Street Light Out Complaint",2,Critical,Emergency infrastructure outage
"Street Light Pole Damage Complaint",3,Medium,Infrastructure lighting standard
"Street Light Pole Door Missing Complaint",3,Medium,Infrastructure lighting standard
"Submerged Divvy or Lime Device in the Lake/River",1,Critical,Public safety hazard response
"Tobacco - General Complaint",7,Low,Regulatory enforcement standard
"Tobacco - Sale to Minors Complaint",14,Low,Regulatory enforcement standard
"Traffic Signal Out Complaint",1,Critical,Public safety critical signal outage
"Tree Debris Clean-Up Request",7,Medium,Storm cleanup SLA assumption
"Tree Emergency",1,Critical,Emergency hazard response assumption
"Tree Planting Request",30,Low,Parks forestry backlog estimate
"Tree Removal Inspection",14,Medium,Parks inspection backlog estimate
"Tree Trim Request (NO LONGER BEING ACCEPTED)",14,Low,Historical forestry backlog estimate
"Vacant/Abandoned Building Complaint",14,High,Inspection backlog estimate
"Vehicle Parked in Bike Lane Complaint",7,Medium,Transportation enforcement standard
"Viaduct Light Out Complaint",3,Medium,Infrastructure lighting standard
"Vicious Animal Complaint",1,Critical,Public safety emergency response
"Wage Complaint",30,Low,Regulatory compliance standard
"Water in Basement Complaint",1,Critical,Emergency infrastructure response
"Water Lead Test Kit Request",1,Critical,Emergency health and safety concern
"Water Lead Test Visit Request",1,Critical,Emergency health and safety concern
"Water On Street Complaint",1,Critical,Immediate safety hazard response
"Water Quality Concern",1,Critical,Emergency health and safety concern
"Weed Removal Request",7,Medium,Urban beautification standard
"Wire Basket Request",14,Medium,Infrastructure maintenance standard
"Yard Waste Pick-Up Request",3,Medium,Sanitation service standard
